"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
2010,"MAGDALENA","PRECIP",1.70892857142857,9.82485207100592,108.511976047904,142.839880952381,185.105952380952,244.277380952381,347.665060240964,294.583333333333,351.015757575758,329.240490797546,389.149390243902,222.046625766871
2011,"MAGDALENA","PRECIP",12.9006493506494,32.4776978417266,86.5833333333333,118.718461538462,224.598484848485,203.878461538462,245.146774193548,177.532258064516,225.826229508197,430.956451612903,298.267741935484,112.106557377049
2012,"MAGDALENA","PRECIP",9.40327868852459,11.6590163934426,44.2566666666667,166.13,193.246551724138,137.058620689655,104.964516129032,221.377419354839,160.578333333333,288.213114754098,108.939285714286,32.8160714285714
2013,"MAGDALENA","PRECIP",1.48392857142857,12.8839285714286,85.9607142857143,81.1,186.284,117.848936170213,90.9408163265306,189.679545454545,198.909090909091,234.416279069767,99.82,NA
2014,"MAGDALENA","PRECIP",26.6,25.59,42.31,82.93,145.2,46.3,60.86,159.07,191.4,292.26,NA,64.26
2007,"META","PRECIP",10.6058823529412,19.4127272727273,267.757142857143,451.296363636364,483.087272727273,552.72641509434,259.333333333333,308.147368421053,283.798214285714,316.736842105263,219.558620689655,94.2854545454545
2008,"META","PRECIP",25.1157894736842,40.0350877192982,64.5090909090909,300.974545454545,512.081818181818,467.169230769231,408.367272727273,282.490909090909,317.031481481481,371.768,377.625,125.39375
2009,"META","PRECIP",113.654716981132,51.4076923076923,248.277777777778,382.816981132075,385.943396226415,515.863636363636,421.314545454545,381.310909090909,258.510909090909,299.932727272727,167.285454545455,57.3714285714286
2010,"META","PRECIP",3.41294117647059,136.21098265896,324.954913294798,578.593529411765,387.873652694611,523.934131736527,419.871764705882,243.471856287425,253.887425149701,338.094011976048,366.126627218935,227.280838323353
2011,"META","PRECIP",60.0535294117647,93.2964705882353,180.214880952381,525.433928571429,556.588679245283,425.826451612903,310.912258064516,262.505925925926,330.93359375,341.72523364486,377.064285714286,241.50253164557
2012,"META","PRECIP",21.6253968253968,99.7160714285714,436.072222222222,398.938888888889,433.723076923077,363.303571428571,409.498214285714,326.466666666667,230.291379310345,332.21724137931,246.194642857143,212.108771929825
2013,"META","PRECIP",5.63448275862069,102.282456140351,272.033333333333,462.3,580.163636363636,381.625,421.069642857143,310.912727272727,320.778571428571,319.592592592593,372.314545454545,125.68125
2014,"META","PRECIP",21.7125531914894,75.4166,161.406551724138,499.4365,444.731666666667,534.1,318.26,249,232.75,372.66,NA,96.49
2007,"NARINYO","PRECIP",165.86,78.75,248.562068965517,283.806896551724,331.535,208.22,129.36,140.934482758621,69.34,255.844827586207,204.024137931034,282.11724137931
2008,"NARINYO","PRECIP",314.033333333333,224.981034482759,237.724561403509,256.26724137931,265.496551724138,214.845762711864,169.850877192982,189.712280701754,119.714035087719,238.805084745763,164.769491525424,217.316949152542
2009,"NARINYO","PRECIP",269.340677966102,199.918644067797,216.891803278689,161.596721311475,142.110526315789,112.993333333333,108.575,135.526666666667,59.715,146.181967213115,162.54262295082,222.877049180328
