ANYO,DEPTO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2008,CALDAS,1,1,1,2,3,1,0,2,0,1,1,0,2,3,4,2,1,0,2,1,2,2,1,4,0,0,1,1,0,1,5,2,2,3,1,4,1,1,0,2,2,0,2,4,2,2,3,3,4,0,2,2,1
2008,CAQUETA,0,1,2,0,1,0,0,0,4,0,0,0,1,1,0,1,3,1,2,4,1,0,3,1,0,0,0,2,0,1,2,0,0,0,1,1,1,1,2,1,0,0,0,1,1,0,1,1,2,1,3,0,1
2008,CASANARE,2,1,2,4,2,2,1,1,4,3,1,0,2,0,4,1,1,5,5,1,3,0,3,3,0,2,2,2,4,4,2,1,4,4,1,1,2,2,4,6,3,3,7,2,1,1,3,2,4,3,1,3,3
2008,CAUCA,3,4,0,2,2,7,0,3,2,0,1,0,1,5,1,4,0,1,3,2,1,1,4,2,1,3,5,1,0,2,0,2,0,2,0,1,4,2,4,0,2,4,1,0,1,1,3,1,0,0,1,1,0
2008,CESAR,0,2,2,0,3,3,1,2,1,1,2,1,0,0,2,1,2,5,1,4,5,5,1,4,2,5,6,3,2,5,4,3,2,2,3,7,2,4,4,9,2,4,1,1,2,2,1,0,0,4,1,3,0
2008,CHOCO,0,0,0,1,1,0,1,0,2,3,2,1,0,4,4,1,2,3,4,3,2,1,1,1,0,3,0,1,3,3,5,0,0,1,3,2,0,2,3,2,1,2,3,2,3,1,1,1,2,2,0,0,2
2008,CORDOBA,0,0,1,0,4,0,0,0,2,2,0,1,0,1,4,1,2,2,0,3,4,1,6,0,0,4,3,2,0,2,3,4,1,3,1,1,4,1,5,5,1,1,3,3,2,0,1,2,1,4,1,4,1
2008,CUNDINAMARCA,2,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,1,0,0,3,1,1,1,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,2,1,2,2,0,1,0,1,0
2008,EXTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
2008,GUAINIA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2008,GUAJIRA,2,0,0,0,1,1,2,0,1,2,0,0,1,1,2,1,0,0,0,4,2,0,0,2,1,2,2,3,1,0,3,2,3,1,1,3,0,2,0,2,2,2,2,1,1,4,2,3,4,2,0,0,1
2008,GUAVIARE,0,1,0,0,1,2,0,0,0,0,2,1,1,4,1,0,2,3,1,1,2,1,1,3,1,1,1,4,1,1,1,0,0,0,1,2,2,1,1,0,1,1,0,2,5,2,1,2,0,1,2,0,1
2008,HUILA,3,1,1,2,4,2,7,2,5,0,6,2,2,1,1,0,0,4,4,2,2,4,2,4,2,1,3,0,1,1,3,0,3,2,2,1,5,0,3,0,4,4,4,2,2,4,0,4,4,4,5,2,2
2008,MAGDALENA,2,1,3,4,0,0,2,1,2,0,0,2,0,0,1,2,2,3,2,3,1,3,1,2,2,4,2,0,2,0,2,1,1,7,4,6,3,3,3,3,1,5,1,1,1,4,4,2,3,6,0,1,2
2008,META,2,2,3,2,0,1,3,5,1,2,0,2,2,10,6,1,8,6,1,3,6,8,3,4,0,10,5,3,5,2,3,8,4,5,3,1,2,3,5,2,3,5,2,1,1,3,5,1,8,1,2,3,4
2008,NARINYO,2,2,0,0,1,1,0,1,2,1,0,0,1,0,0,2,0,0,0,3,1,0,0,2,3,1,1,2,3,2,3,2,0,1,0,3,2,4,3,4,0,2,3,2,1,1,0,1,2,0,1,1,1
2008,NORTE SANTANDER,5,4,4,3,4,7,1,0,3,3,2,2,3,5,2,5,2,7,3,5,3,2,1,2,4,4,6,0,3,1,2,3,2,1,6,1,3,3,3,3,3,2,5,4,0,8,3,1,2,5,1,2,3
2008,PROCEDENCIA DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,PUTUMAYO,1,4,1,2,0,0,2,1,3,3,1,1,2,4,1,1,1,4,1,2,1,2,2,1,0,0,4,0,1,1,2,1,3,1,0,1,1,1,2,2,0,2,2,2,0,0,1,0,0,1,3,5,0
2008,QUINDIO,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
2008,RISARALDA,1,2,0,0,0,0,1,1,2,1,1,0,1,2,2,0,0,0,4,0,1,0,1,3,0,2,1,0,1,1,0,1,0,1,1,0,2,0,1,1,0,1,1,1,0,0,2,1,3,0,3,0,2
2008,SANTANDER,2,5,4,3,5,4,0,1,2,5,4,2,3,4,4,6,5,1,2,1,1,4,2,5,1,4,4,3,2,3,5,4,2,4,3,4,5,2,1,4,0,1,2,4,3,3,2,3,0,2,2,2,0
2008,SUCRE,0,0,4,2,1,2,2,2,0,4,0,1,1,6,1,2,3,2,2,2,1,5,3,2,2,4,0,2,3,2,2,1,1,6,1,3,1,0,1,2,1,3,1,2,2,3,0,3,1,1,0,1,2
2008,TOLIMA,0,3,3,2,0,0,2,2,3,2,2,1,1,2,3,2,1,3,3,3,3,1,0,2,1,2,0,1,1,1,0,1,0,2,2,2,2,1,1,0,0,1,1,1,5,2,2,1,2,3,1,1,2
2008,VALLE,0,1,3,0,0,1,1,0,0,0,2,1,1,1,4,3,1,1,2,2,0,1,1,0,1,0,1,0,3,5,3,2,2,0,0,2,2,1,3,1,0,2,3,2,0,1,1,2,0,1,2,0,1
2008,VAUPES,0,3,0,0,1,1,1,1,4,2,0,1,3,1,0,0,2,2,1,0,1,1,1,1,1,0,1,1,3,2,0,0,1,2,2,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0
2008,VICHADA,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0
2009,AMAZONAS,4,0,2,4,1,3,1,0,2,3,4,0,0,3,1,1,2,1,0,3,2,1,3,1,3,0,3,2,1,2,0,0,0,1,1,0,3,1,1,1,1,1,0,0,2,1,2,0,2,1,1,1,
2009,ANTIOQUIA,8,5,5,18,8,7,12,11,14,8,11,8,8,7,12,12,16,11,10,7,15,13,11,14,10,8,9,14,15,12,5,10,17,5,10,7,8,13,10,8,12,14,13,7,10,12,9,12,4,10,5,3,
2009,ARAUCA,2,1,4,4,3,2,4,3,2,3,0,2,3,3,3,3,1,2,3,9,7,4,1,3,5,3,1,3,7,2,6,0,6,1,3,4,2,2,3,0,1,1,0,2,2,4,3,0,3,6,1,2,
2009,ATLANTICO,3,3,0,2,1,0,2,2,1,1,1,1,1,1,0,0,1,3,1,1,2,3,1,2,1,2,2,2,1,0,1,1,4,0,0,2,0,2,2,1,2,2,3,3,5,4,4,1,0,1,3,0,
2009,BOGOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2009,BOLIVAR,7,6,8,3,5,3,3,5,6,0,3,4,4,2,2,3,2,3,3,5,7,4,1,3,3,9,6,7,2,8,5,7,4,2,3,8,3,5,4,7,1,5,2,3,3,1,6,1,7,7,1,4,
2009,BOYACA,1,1,1,1,1,0,5,1,2,1,1,2,1,1,2,1,2,3,0,1,2,1,0,2,2,0,2,2,3,0,0,1,1,3,3,3,0,1,1,2,1,0,0,1,0,0,2,0,0,2,1,1,
2009,CALDAS,0,1,3,1,4,1,5,1,3,3,1,2,9,0,1,1,5,2,0,3,2,4,1,3,3,5,4,2,4,1,2,1,2,0,2,0,0,3,1,1,1,3,0,3,3,3,4,1,2,0,3,2,
